Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
G32 8HQ,55.842658,-4.167715,264362,663174,NS643631,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,9,6,,,Braidfauld - 01,Large urban area,
G32 8HR,55.840503,-4.168601,264299,662936,NS642629,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/09/2002,,,,23,10,,,Braidfauld - 01,Large urban area,
G32 8HS,55.842013,-4.168637,264302,663104,NS643631,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/07/2002,,,,109,67,,,Braidfauld - 01,Large urban area,
G32 8HU,55.8368,-4.161,264762,662509,NS647625,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,27,7,,,Carmyle and Mount Vernon South - 01,Large urban area,
G32 8HW,55.837975,-4.160602,264791,662639,NS647626,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,18,9,,,Carmyle and Mount Vernon South - 01,Large urban area,
G32 8HX,55.836822,-4.160251,264809,662510,NS648625,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,20,9,,,Carmyle and Mount Vernon South - 01,Large urban area,
G32 8HY,55.835765,-4.160576,264785,662393,NS647623,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/02/1986,,,,11,4,,,Shettleston South - 03,Large urban area,
G32 8HZ,55.83744,-4.15987,264835,662578,NS648625,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/07/1989,,,,5,3,,,Carmyle and Mount Vernon South - 01,Large urban area,
G32 8JB,55.839046,-4.146128,265701,662730,NS657627,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/2001,,,,91,28,,,Mount Vernon North and Sandyhills - 05,Large urban area,
G32 8JD,55.838663,-4.146474,265678,662688,NS656626,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/2001,,,,15,6,,,Carmyle and Mount Vernon South - 01,Large urban area,
