Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
EH4 5ER,55.976184,-3.27163,320741,676640,NT207766,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,4,2,,,Granton West and Salvesen - 05,Large urban area,
EH4 5ES,55.979438,-3.279318,320268,677011,NT202770,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/07/2013,,,,,,,,Siverknowes and Davidson's Mains - 05,Large urban area,
EH4 5ET,55.972812,-3.27277,320663,676266,NT206762,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,0,0,,,Granton West and Salvesen - 05,Large urban area,
EH4 5EU,55.974091,-3.261979,321339,676396,NT213763,,City of Edinburgh,Forth, S12000036,S13002586,Scotland,S99999999,Edinburgh West,01/01/1980,,,,25,0,,,Granton West and Salvesen - 05,Large urban area,
EH4 5EW,55.978285,-3.265706,321115,676867,NT211768,,City of Edinburgh,Forth, S12000036,S13002586,Scotland,S99999999,Edinburgh West,01/01/1980,,,,0,0,,,Granton West and Salvesen - 05,Large urban area,
EH4 5EX,55.971247,-3.274673,320541,676094,NT205760,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,0,0,,,Siverknowes and Davidson's Mains - 05,Large urban area,
EH4 5EY,55.968702,-3.275695,320472,675812,NT204758,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,47,15,,,Siverknowes and Davidson's Mains - 04,Large urban area,
EH4 5EZ,55.970772,-3.273664,320603,676040,NT206760,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,57,20,,,Siverknowes and Davidson's Mains - 04,Large urban area,
EH4 5HA,55.971388,-3.272322,320688,676107,NT206761,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,11,6,,,Siverknowes and Davidson's Mains - 05,Large urban area,
EH4 5HB,55.970603,-3.271736,320723,676019,NT207760,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,5,3,,,Siverknowes and Davidson's Mains - 05,Large urban area,
